id,district,lor,street,month,hour,weekday,injury,collision,movement,light_conditions,bicycle,car,pedestrian,motorbike,truck,other_vehicle,road_conditions,longitude,latitude,Combo_type
193242,Friedrichshain-Kreuzberg,2050801,Traveplatz,March,21,Tuesday,minor,5,Turning,Night,1,1,0,0,0,0,Dry,13.47391,52.51016,bicycle + car + 
193243,Neukölln,8010303,Donaustraße,March,13,Tuesday,minor,6,Turning,Daylight,0,1,1,0,0,0,Dry,13.43384,52.48181,car + pedestrian + 
193244,Charlottenburg-Wilmersdorf,4010101,Jungfernheide,March,23,Tuesday,minor,3,Stationary Traffic,Night,0,1,0,0,0,1,Wet,13.29678,52.54812,car + other
193245,Mitte,1011303,Alexanderplatzviertel,March,15,Tuesday,minor,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Wet,13.41115,52.52855,car + 
193246,Neukölln,8010118,Silbersteinstraße,March,12,Tuesday,minor,3,Stationary Traffic,Daylight,0,1,0,1,0,1,Wet,13.42894,52.47188,car + motorbike + other
193247,Marzahn-Hellersdorf,10010206,Ringkolonnaden,March,15,Monday,minor,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Wet,13.55174,52.5544,car + 
193248,Charlottenburg-Wilmersdorf,4030415,Schloßgarten,March,21,Thursday,minor,6,Turning,Night,0,1,1,0,0,0,Wet,13.28677,52.51881,car + pedestrian + 
193249,Mitte,1011401,Invalidenstraße,March,15,Monday,minor,1,Paralle Traffic,Daylight,1,1,0,0,0,0,Wet,13.38236,52.53497,bicycle + car + 
193250,Friedrichshain-Kreuzberg,2010101,Askanischer Platz,March,6,Tuesday,minor,5,Turning,Daylight,1,1,0,0,0,0,Dry,13.38759,52.5035,bicycle + car + 
193251,Neukölln,8020625,Handwerker-Siedlung,March,14,Monday,minor,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Wet,13.43646,52.43988,car + 
193252,Treptow-Köpenick,9030903,Kölner Viertel,March,7,Tuesday,minor,5,Crossing,Daylight,1,1,0,0,0,0,Dry,13.53741,52.40482,bicycle + car + 
193253,Tempelhof-Schöneberg,7050502,Fritz-Werner-Straße,March,15,Monday,minor,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Dry,13.38286,52.43826,car + 
193254,Tempelhof-Schöneberg,7020204,Schöneberger Insel,March,15,Monday,minor,0,Turning,Daylight,0,1,0,1,0,0,Wet,13.36024,52.47979,car + motorbike + 
193255,Friedrichshain-Kreuzberg,2020203,Viktoriapark,March,15,Monday,minor,5,Turning,Daylight,1,1,0,0,0,0,Dry,13.38219,52.485,bicycle + car + 
193256,Spandau,5030731,Gartenfelder Straße,March,16,Monday,minor,2,Driving,Daylight,0,1,0,0,0,0,Dry,13.23424,52.53865,car + 
193257,Mitte,1011302,Oranienburger Straße,March,17,Monday,serious,5,Crossing,Dawn,1,0,0,0,0,0,Wet,13.39208,52.52346,bicycle + 
193258,Neukölln,8010301,Reuterkiez,March,13,Friday,minor,2,Turning,Daylight,1,1,0,0,0,0,Dry,13.44427,52.48483,bicycle + car + 
193259,Mitte,1011303,Alexanderplatzviertel,March,8,Tuesday,minor,5,Crossing,Daylight,0,1,0,1,0,0,Dry,13.41006,52.51797,car + motorbike + 
193260,Mitte,1022204,Thomasiusstraße,March,18,Monday,minor,5,Other,Dawn,0,1,0,0,0,0,Wet,13.34688,52.52488,car + 
193261,Tempelhof-Schöneberg,7030303,Grazer Platz,March,18,Monday,minor,6,Turning,Dawn,0,1,1,0,0,0,Wet,13.34726,52.47053,car + pedestrian + 
193262,Pankow,3050923,Weißenseer Spitze,March,8,Tuesday,minor,5,Crossing,Daylight,1,1,0,0,0,0,Dry,13.43251,52.55765,bicycle + car + 
193263,Friedrichshain-Kreuzberg,2030302,Lausitzer Platz,March,18,Monday,minor,6,Overtaking,Dawn,0,0,1,1,0,0,Wet,13.42713,52.50027,pedestrian + motorbike + 
193264,Lichtenberg,11040925,Victoriastadt,March,18,Monday,minor,5,Crossing,Dawn,1,0,0,0,0,1,Wet,13.47433,52.50464,bicycle + other
193265,Reinickendorf,12224229,Konradshöhe/Tegelort,March,9,Tuesday,minor,1,Paralle Traffic,Daylight,1,1,0,0,0,0,Dry,13.22462,52.58331,bicycle + car + 
193266,Spandau,5010310,Eckschanze,March,18,Monday,serious,6,Overtaking,Dawn,0,1,1,0,0,0,Wet,13.20073,52.54882,car + pedestrian + 
193267,Tempelhof-Schöneberg,7060604,Marienfelde Süd,March,20,Monday,minor,5,Turning,Night,1,1,0,0,0,0,Wet,13.36121,52.41249,bicycle + car + 
193268,Steglitz-Zehlendorf,6040807,Zehlendorf Eiche,March,12,Thursday,serious,1,Paralle Traffic,Daylight,0,1,0,0,0,1,Wet,13.26284,52.43897,car + other
193269,Friedrichshain-Kreuzberg,2020206,Graefekiez,March,20,Monday,minor,5,Other,Night,0,1,0,0,0,0,Wet,13.42207,52.49286,car + 
193270,Friedrichshain-Kreuzberg,2030402,Wrangelkiez,March,9,Tuesday,minor,5,Crossing,Daylight,1,1,0,0,0,0,Dry,13.44819,52.49742,bicycle + car + 
193271,Treptow-Köpenick,9051901,Dammvorstadt,March,20,Monday,minor,6,Overtaking,Night,0,1,1,0,0,0,Wet,13.58347,52.4517,car + pedestrian + 
193272,Treptow-Köpenick,9020702,Adlershof Ost,March,14,Tuesday,minor,5,Turning,Daylight,1,1,0,0,0,0,Dry,13.55369,52.43136,bicycle + car + 
193273,Mitte,1033102,Gesundbrunnen,March,22,Monday,minor,5,Turning,Night,1,1,0,0,0,0,Wet,13.38421,52.55568,bicycle + car + 
